Elapsed time,1a-Jasper,1a-PdfBox,1a-iText,1b-Jasper,1b-PdfBox,1b-iText,1c-Jasper,1c-PdfBox,1c-iText,2a--Jasper,2a-PdfBox,2a-iText,2b-Jasper,2b-PdfBox,2b-iText,2c--iText,2c-Jasper,2c-PdfBox,3a-Jasper,3a-PdfBox,3a-iText,3b-Jasper,3b-PdfBox,3b-iText,3c--iText,3c-Jasper,3c-PdfBox,OS Process Sampler,heroku restart,maven build Jasper
01:20:36.500,,,401.74074074074076,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:37.0,,,330.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:37.500,,,330.76666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:38.0,,,323.1333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:38.500,,,301.03225806451616,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:39.0,,,310.4814814814815,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:39.500,,,333.6774193548387,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:40.0,,,288.7647058823528,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:40.500,,,295.76666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:41.0,,,344.09090909090907,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:41.500,,,360.3333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:42.0,,,524.3684210526316,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:42.500,,,353.5769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:43.0,,,384.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:43.500,,,527.9047619047618,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:44.0,,,316.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:44.500,,,358.8888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:45.0,,,360.030303030303,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:45.500,,,373.54545454545456,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:46.0,,,442.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:46.500,,,359.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:47.0,,,415.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:47.500,,,312.14285714285717,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:48.0,,,271.0882352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:48.500,,,301.29999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:49.0,,,437.1333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:49.500,,,358.8888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:50.0,,,267.1212121212121,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:50.500,,,308.89285714285717,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:51.0,,,367.73913043478245,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:51.500,,,260.0967741935484,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:52.0,,,378.03846153846155,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:52.500,,,281.14285714285705,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:53.0,,,503.85714285714283,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:53.500,,,338.3333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:54.0,,,309.8529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:54.500,,,327.1111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:55.0,,,293.6470588235294,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:55.500,,,330.17241379310343,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20:56.0,,,361.81818181818187,,,,,,,,,,,,,,,,,,,,,,,,,,,
