label,product,szenariodate,memory_total (MB),memory_rss (MB),memory_cache(MB),memory_swap(MB),memory_pgpgin (pages),memory_pgpgout (pages),memory_quota (MB)
iText-2c,iText,2c, 1.517965726E12,983.47,980.55,2.93,0.00,1230455,1107969,1024.00
iText-2c,iText,2c, 1.517965747E12,982.98,980.05,2.93,0.00,1235895,1113535,1024.00
iText-2c,iText,2c, 1.517965767E12,982.50,979.57,2.93,0.00,1238665,1116429,1024.00
iText-2c,iText,2c, 1.517965787E12,985.55,982.55,2.99,0.00,1242712,1119695,1024.00
iText-2c,iText,2c, 1.517965807E12,978.63,975.64,2.99,0.00,1245545,1123787,1024.00
iText-2c,iText,2c, 1.517965827E12,978.63,975.64,2.99,0.00,1245545,1123787,1024.00
iText-2c,iText,2c, 1.517965846E12,978.63,975.64,2.99,0.00,1245545,1123787,1024.00
iText-2c,iText,2c, 1.517965866E12,975.68,972.69,2.99,0.00,1245545,1124544,1024.00
iText-2c,iText,2c, 1.517965887E12,975.68,972.69,2.99,0.00,1245545,1124544,1024.00
iText-2c,iText,2c, 1.517965907E12,975.68,972.69,2.99,0.00,1245545,1124544,1024.00
iText-2c,iText,2c, 1.517965928E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517965947E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517965967E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517965986E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966006E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966027E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966047E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966067E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966087E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966106E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966127E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966146E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966167E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966187E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966207E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966227E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966247E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966267E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966287E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966306E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966326E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966346E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966366E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-2c,iText,2c, 1.517966387E12,975.71,972.73,2.99,0.00,1245572,1124561,1024.00
iText-3a,iText,3a, 1.517966406E12,999.57,996.48,3.10,0.00,1253781,1126662,1024.00
iText-3a,iText,3a, 1.517966427E12,1002.46,999.36,3.10,0.00,1261243,1133385,1024.00
iText-3a,iText,3a, 1.517966447E12,995.92,992.82,3.10,0.00,1268588,1142404,1024.00
iText-3a,iText,3a, 1.517966467E12,996.98,993.89,3.10,0.00,1275615,1149159,1024.00
iText-3a,iText,3a, 1.517966487E12,997.57,994.47,3.10,0.00,1282870,1156265,1024.00
iText-3a,iText,3a, 1.517966506E12,998.23,995.14,3.10,0.00,1289726,1162950,1024.00
iText-3a,iText,3a, 1.517966526E12,1002.82,999.72,3.10,0.00,1297493,1170055,1024.00
iText-3a,iText,3a, 1.517966547E12,1005.37,1002.27,3.10,0.00,1304950,1177370,1024.00
iText-3a,iText,3a, 1.517966567E12,1005.51,1002.41,3.10,0.00,1311777,1184160,1024.00
iText-3a,iText,3a, 1.517966586E12,1005.74,1002.64,3.10,0.00,1318765,1191090,1024.00
iText-3a,iText,3a, 1.517966606E12,1008.02,1004.93,3.10,0.00,1325664,1197915,1024.00
iText-3a,iText,3a, 1.517966626E12,1007.15,1004.05,3.10,0.00,1332417,1204891,1024.00
iText-3a,iText,3a, 1.517966647E12,1008.18,1005.08,3.10,0.00,1339820,1212031,1024.00
iText-3a,iText,3a, 1.517966667E12,1008.67,1005.57,3.10,0.00,1346876,1218961,1024.00
iText-3a,iText,3a, 1.517966686E12,1008.77,1005.67,3.10,0.00,1353550,1225611,1024.00
iText-3a,iText,3a, 1.517966706E12,1008.88,1005.78,3.10,0.00,1360684,1232716,1024.00
iText-3a,iText,3a, 1.517966727E12,1008.88,1005.78,3.10,0.00,1367929,1239961,1024.00
iText-3a,iText,3a, 1.517966747E12,1009.07,1005.97,3.10,0.00,1374813,1246797,1024.00
iText-3a,iText,3a, 1.517966766E12,1008.62,1005.52,3.10,0.00,1381533,1253631,1024.00
iText-3a,iText,3a, 1.517966787E12,1008.79,1005.70,3.10,0.00,1388472,1260526,1024.00
iText-3a,iText,3a, 1.517966807E12,1009.15,1006.05,3.10,0.00,1395773,1267736,1024.00
iText-3a,iText,3a, 1.517966827E12,1009.76,1006.66,3.10,0.00,1402930,1274736,1024.00
iText-3a,iText,3a, 1.517966847E12,1009.87,1006.77,3.10,0.00,1409538,1281316,1024.00
iText-3a,iText,3a, 1.517966867E12,1010.12,1007.02,3.10,0.00,1416805,1288520,1024.00
iText-3a,iText,3a, 1.517966887E12,1010.12,1007.02,3.10,0.00,1423245,1294960,1024.00
iText-3a,iText,3a, 1.517966908E12,1010.26,1007.16,3.10,0.00,1430281,1301960,1024.00
iText-3a,iText,3a, 1.517966927E12,1011.54,1008.44,3.10,0.00,1437281,1308633,1024.00
iText-3a,iText,3a, 1.517966947E12,1011.83,1008.73,3.10,0.00,1442151,1313428,1024.00
iText-3a,iText,3a, 1.517966968E12,1011.83,1008.73,3.10,0.00,1448417,1319693,1024.00
iText-3a,iText,3a, 1.517966988E12,1016.58,1013.48,3.10,0.00,1455373,1325433,1024.00
iText-3a,iText,3a, 1.517967007E12,1016.59,1013.50,3.10,0.00,1458701,1328758,1024.00
iText-3a,iText,3a, 1.517967027E12,1016.59,1013.50,3.10,0.00,1458701,1328758,1024.00
iText-3a,iText,3a, 1.517967047E12,1016.59,1013.50,3.10,0.00,1458701,1328758,1024.00
iText-3a,iText,3a, 1.517967067E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967088E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967107E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967127E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967147E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967167E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967187E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967207E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967227E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967247E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967266E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967286E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967307E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967327E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967347E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967367E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967387E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967407E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967427E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967447E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967467E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967487E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967507E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967527E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967546E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967567E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3a,iText,3a, 1.517967586E12,1016.28,1013.18,3.10,0.00,1458701,1328838,1024.00
iText-3b,iText,3b, 1.517967607E12,1024.83,971.50,0.40,52.93,1465149,1346647,1024.00
iText-3b,iText,3b, 1.517967627E12,1016.03,962.80,0.40,52.84,1471004,1354731,1024.00
iText-3b,iText,3b, 1.517967647E12,1012.48,959.18,0.47,52.83,1477882,1362005,1024.00
iText-3b,iText,3b, 1.517967667E12,1016.41,963.18,0.40,52.83,1484064,1368204,1024.00
iText-3b,iText,3b, 1.517967687E12,1016.45,963.23,0.40,52.82,1490893,1375019,1024.00
iText-3b,iText,3b, 1.517967707E12,1016.01,962.80,0.40,52.82,1497398,1381636,1024.00
iText-3b,iText,3b, 1.517967727E12,1015.52,962.30,0.40,52.82,1504610,1388974,1024.00
iText-3b,iText,3b, 1.517967747E12,1015.55,962.33,0.40,52.82,1511003,1395360,1024.00
iText-3b,iText,3b, 1.517967767E12,1016.02,962.41,0.80,52.82,1517837,1402072,1024.00
iText-3b,iText,3b, 1.517967787E12,1012.62,959.41,0.40,52.82,1524431,1409026,1024.00
iText-3b,iText,3b, 1.517967808E12,1014.14,961.37,0.40,52.37,1532144,1416236,1024.00
iText-3b,iText,3b, 1.517967827E12,1014.17,961.40,0.40,52.37,1538640,1422725,1024.00
iText-3b,iText,3b, 1.517967847E12,1013.39,960.62,0.40,52.37,1544851,1429135,1024.00
iText-3b,iText,3b, 1.517967867E12,1001.87,949.10,0.40,52.37,1551752,1437964,1024.00
iText-3b,iText,3b, 1.517967887E12,991.86,939.11,0.40,52.36,1558248,1445996,1024.00
iText-3b,iText,3b, 1.517967907E12,980.34,927.59,0.40,52.36,1564944,1455641,1024.00
iText-3b,iText,3b, 1.517967928E12,972.54,919.80,0.40,52.34,1571802,1464491,1024.00
iText-3b,iText,3b, 1.517967947E12,983.29,930.55,0.40,52.34,1579922,1471392,1024.00
iText-3b,iText,3b, 1.517967967E12,1008.27,955.53,0.40,52.34,1591586,1478706,1024.00
iText-3b,iText,3b, 1.517967987E12,1013.97,961.24,0.40,52.34,1599639,1485298,1024.00
iText-3b,iText,3b, 1.517968007E12,1013.73,961.00,0.40,52.33,1606999,1492718,1024.00
iText-3b,iText,3b, 1.517968027E12,1013.88,961.15,0.40,52.33,1614426,1500108,1024.00
iText-3b,iText,3b, 1.517968047E12,1003.26,950.54,0.40,52.33,1620915,1508803,1024.00
iText-3b,iText,3b, 1.517968067E12,996.27,943.54,0.40,52.33,1626069,1515748,1024.00
iText-3b,iText,3b, 1.517968087E12,985.82,933.10,0.40,52.32,1632372,1524724,1024.00
iText-3b,iText,3b, 1.517968107E12,974.30,921.58,0.40,52.32,1638965,1534266,1024.00
iText-3b,iText,3b, 1.517968127E12,963.28,910.55,0.40,52.32,1645866,1543989,1024.00
iText-3b,iText,3b, 1.517968147E12,955.77,903.05,0.40,52.32,1652253,1552298,1024.00
iText-3b,iText,3b, 1.517968167E12,948.75,896.03,0.40,52.32,1658951,1560792,1024.00
iText-3b,iText,3b, 1.517968188E12,948.89,896.17,0.40,52.32,1666786,1568592,1024.00
iText-3b,iText,3b, 1.517968207E12,957.29,904.57,0.40,52.32,1670996,1572695,1024.00
iText-3b,iText,3b, 1.517968227E12,957.29,904.57,0.40,52.32,1670996,1572695,1024.00
iText-3b,iText,3b, 1.517968248E12,957.29,904.57,0.40,52.32,1670996,1572695,1024.00
iText-3b,iText,3b, 1.517968267E12,957.29,904.57,0.40,52.32,1670996,1572695,1024.00
iText-3b,iText,3b, 1.517968287E12,957.29,904.57,0.40,52.32,1670996,1572695,1024.00
iText-3b,iText,3b, 1.517968307E12,957.29,904.57,0.40,52.32,1670996,1572695,1024.00
iText-3b,iText,3b, 1.517968328E12,957.29,904.57,0.40,52.32,1670996,1572695,1024.00
iText-3b,iText,3b, 1.517968347E12,957.29,904.57,0.40,52.32,1670996,1572695,1024.00
iText-3b,iText,3b, 1.517968367E12,957.29,904.57,0.40,52.32,1670996,1572695,1024.00
iText-3b,iText,3b, 1.517968387E12,957.29,904.57,0.40,52.32,1670996,1572695,1024.00
iText-3b,iText,3b, 1.517968407E12,957.29,904.57,0.40,52.32,1670996,1572695,1024.00
iText-3b,iText,3b, 1.517968427E12,957.29,904.57,0.40,52.32,1670997,1572695,1024.00
iText-3b,iText,3b, 1.517968447E12,957.29,904.57,0.40,52.32,1670997,1572695,1024.00
iText-3b,iText,3b, 1.517968467E12,957.29,904.57,0.40,52.32,1670997,1572695,1024.00
iText-3b,iText,3b, 1.517968488E12,957.29,904.57,0.40,52.32,1670997,1572695,1024.00
iText-3b,iText,3b, 1.517968507E12,957.29,904.57,0.40,52.32,1670997,1572695,1024.00
iText-3b,iText,3b, 1.517968528E12,957.29,904.57,0.40,52.32,1670997,1572695,1024.00
iText-3b,iText,3b, 1.517968547E12,957.29,904.57,0.40,52.32,1670997,1572695,1024.00
iText-3b,iText,3b, 1.517968567E12,957.29,904.57,0.40,52.32,1670997,1572695,1024.00
iText-3b,iText,3b, 1.517968587E12,957.29,904.57,0.40,52.32,1670997,1572695,1024.00
iText-3b,iText,3b, 1.517968607E12,957.29,904.57,0.40,52.32,1670997,1572695,1024.00
iText-3b,iText,3b, 1.517968627E12,957.29,904.57,0.40,52.32,1670997,1572695,1024.00
iText-3b,iText,3b, 1.517968647E12,957.29,904.57,0.40,52.32,1670997,1572695,1024.00
iText-3b,iText,3b, 1.517968667E12,957.29,904.57,0.40,52.32,1670997,1572695,1024.00
iText-3b,iText,3b, 1.517968687E12,957.30,904.58,0.40,52.32,1671000,1572695,1024.00
iText-3b,iText,3b, 1.517968707E12,957.30,904.58,0.40,52.32,1671000,1572695,1024.00
iText-3b,iText,3b, 1.517968726E12,957.30,904.58,0.40,52.32,1671000,1572695,1024.00
iText-3b,iText,3b, 1.517968746E12,957.30,904.58,0.40,52.32,1671000,1572695,1024.00
iText-3b,iText,3b, 1.517968766E12,957.30,904.58,0.40,52.32,1671000,1572695,1024.00
iText-3b,iText,3b, 1.517968787E12,957.30,904.58,0.40,52.32,1671000,1572695,1024.00
iText-3c,iText,3c, 1.517968807E12,953.38,900.69,0.40,52.29,1673584,1575765,1024.00
iText-3c,iText,3c, 1.517968827E12,944.31,891.62,0.40,52.29,1679772,1584274,1024.00
iText-3c,iText,3c, 1.517968847E12,947.33,894.64,0.40,52.29,1686291,1591554,1024.00
iText-3c,iText,3c, 1.517968867E12,968.32,915.62,0.40,52.29,1693219,1598730,1024.00
iText-3c,iText,3c, 1.517968888E12,961.86,909.23,0.43,52.20,1709644,1616275,1024.00
iText-3c,iText,3c, 1.517968907E12,953.86,901.23,0.43,52.20,1715667,1623325,1024.00
iText-3c,iText,3c, 1.517968927E12,960.12,907.50,0.43,52.20,1722754,1629827,1024.00
iText-3c,iText,3c, 1.517968948E12,953.41,900.80,0.43,52.18,1729064,1637852,1024.00
iText-3c,iText,3c, 1.517968967E12,946.41,893.80,0.43,52.18,1734999,1645068,1024.00
iText-3c,iText,3c, 1.517968987E12,955.29,902.69,0.43,52.18,1741633,1651983,1024.00
iText-3c,iText,3c, 1.517969008E12,978.17,925.57,0.43,52.17,1748243,1658355,1024.00
iText-3c,iText,3c, 1.517969027E12,1005.51,952.91,0.43,52.17,1756641,1664865,1024.00
iText-3c,iText,3c, 1.517969046E12,1019.42,966.82,0.43,52.17,1763576,1671305,1024.00
iText-3c,iText,3c, 1.517969068E12,1019.89,967.29,0.43,52.17,1770661,1678270,1024.00
iText-3c,iText,3c, 1.517969087E12,1021.34,968.69,0.50,52.16,1777160,1684393,1024.00
iText-3c,iText,3c, 1.517969107E12,1020.77,968.19,0.43,52.16,1783757,1691136,1024.00
iText-3c,iText,3c, 1.517969127E12,1013.78,961.20,0.43,52.16,1790307,1698965,1024.00
iText-3c,iText,3c, 1.517969147E12,1001.25,948.67,0.43,52.15,1796678,1707009,1024.00
iText-3c,iText,3c, 1.517969167E12,990.54,937.75,0.64,52.15,1803511,1715563,1024.00
iText-3c,iText,3c, 1.517969188E12,978.92,926.34,0.43,52.15,1810417,1724421,1024.00
iText-3c,iText,3c, 1.517969207E12,997.48,944.90,0.43,52.15,1816836,1730687,1024.00
iText-3c,iText,3c, 1.517969226E12,990.96,938.38,0.43,52.15,1823416,1738425,1024.00
iText-3c,iText,3c, 1.517969247E12,980.44,927.86,0.43,52.15,1829576,1746256,1024.00
iText-3c,iText,3c, 1.517969267E12,968.92,916.34,0.43,52.15,1836332,1755450,1024.00
iText-3c,iText,3c, 1.517969288E12,960.04,907.33,0.56,52.15,1842912,1763792,1024.00
iText-3c,iText,3c, 1.517969307E12,953.89,901.32,0.43,52.15,1849282,1771736,1024.00
iText-3c,iText,3c, 1.517969327E12,946.88,894.30,0.43,52.15,1853762,1778012,1024.00
iText-3c,iText,3c, 1.517969348E12,937.36,884.79,0.43,52.15,1860868,1787554,1024.00
iText-3c,iText,3c, 1.517969368E12,930.35,877.78,0.43,52.15,1867449,1795929,1024.00
iText-3c,iText,3c, 1.517969387E12,924.36,871.79,0.43,52.15,1874000,1804013,1024.00
iText-3c,iText,3c, 1.517969407E12,933.90,881.33,0.43,52.15,1880047,1807618,1024.00
iText-3c,iText,3c, 1.517969428E12,933.91,881.34,0.43,52.14,1880050,1807618,1024.00
iText-3c,iText,3c, 1.517969448E12,933.91,881.34,0.43,52.14,1880050,1807618,1024.00
iText-3c,iText,3c, 1.517969467E12,933.54,880.97,0.43,52.14,1880050,1807712,1024.00
iText-3c,iText,3c, 1.517969487E12,933.54,880.97,0.43,52.14,1880050,1807712,1024.00
iText-3c,iText,3c, 1.517969507E12,933.54,880.97,0.43,52.14,1880050,1807712,1024.00
iText-3c,iText,3c, 1.517969527E12,933.54,880.97,0.43,52.14,1880050,1807712,1024.00
iText-3c,iText,3c, 1.517969547E12,933.54,880.97,0.43,52.14,1880050,1807712,1024.00
iText-3c,iText,3c, 1.517969567E12,933.54,880.97,0.43,52.14,1880050,1807712,1024.00
iText-3c,iText,3c, 1.517969587E12,933.54,880.97,0.43,52.14,1880050,1807712,1024.00
iText-3c,iText,3c, 1.517969607E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969627E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969646E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969667E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969687E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969707E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969726E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969746E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969767E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969786E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969807E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969826E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969847E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969866E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969887E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969907E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969927E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969947E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969967E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
iText-3c,iText,3c, 1.517969987E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
Jasper-deploy,Jasper,deploy, 1.517970006E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
Jasper-deploy,Jasper,deploy, 1.517970027E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
Jasper-deploy,Jasper,deploy, 1.517970046E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
Jasper-deploy,Jasper,deploy, 1.517970067E12,933.54,880.98,0.43,52.14,1880051,1807712,1024.00
Jasper-deploy,Jasper,deploy, 1.517970089E12,353.45,343.91,9.54,0.00,109972,25110,1024.00
Jasper-deploy,Jasper,deploy, 1.51797009E12,352.42,350.23,2.20,0.00,108215,23616,1024.00
Jasper-deploy,Jasper,deploy, 1.51797011E12,398.95,396.76,2.20,0.00,129441,32930,1024.00
Jasper-deploy,Jasper,deploy, 1.517970132E12,390.39,388.20,2.20,0.00,129465,35145,1024.00
Jasper-deploy,Jasper,deploy, 1.517970152E12,395.17,392.98,2.20,0.00,130688,35145,1024.00
Jasper-deploy,Jasper,deploy, 1.517970172E12,395.19,393.00,2.20,0.00,130693,35145,1024.00
Jasper-deploy,Jasper,deploy, 1.517970194E12,395.20,393.00,2.20,0.00,130695,35145,1024.00
Jasper-deploy,Jasper,deploy, 1.517970214E12,395.21,393.01,2.20,0.00,130697,35145,1024.00
Jasper-deploy,Jasper,deploy, 1.517970235E12,395.24,393.05,2.20,0.00,130706,35145,1024.00
Jasper-deploy,Jasper,deploy, 1.517970256E12,395.25,393.05,2.20,0.00,130707,35145,1024.00
Jasper-deploy,Jasper,deploy, 1.517970277E12,395.27,393.08,2.20,0.00,130714,35145,1024.00
Jasper-deploy,Jasper,deploy, 1.517970299E12,395.30,393.11,2.20,0.00,130721,35145,1024.00
Jasper-deploy,Jasper,deploy, 1.517970319E12,395.30,393.11,2.20,0.00,130722,35145,1024.00
Jasper-deploy,Jasper,deploy, 1.51797034E12,395.32,393.13,2.20,0.00,130727,35145,1024.00
Jasper-deploy,Jasper,deploy, 1.517970362E12,395.33,393.14,2.20,0.00,130729,35145,1024.00
Jasper-deploy,Jasper,deploy, 1.517970383E12,395.37,393.17,2.20,0.00,130772,35179,1024.00
Jasper-deploy,Jasper,deploy, 1.517970404E12,395.41,393.22,2.20,0.00,130784,35179,1024.00
Jasper-deploy,Jasper,deploy, 1.517970425E12,395.41,393.22,2.20,0.00,130784,35179,1024.00
Jasper-deploy,Jasper,deploy, 1.517970446E12,395.42,393.22,2.20,0.00,130785,35179,1024.00
Jasper-deploy,Jasper,deploy, 1.517970467E12,395.42,393.22,2.20,0.00,130785,35179,1024.00
Jasper-deploy,Jasper,deploy, 1.517970487E12,395.43,393.23,2.20,0.00,130787,35179,1024.00
Jasper-deploy,Jasper,deploy, 1.517970508E12,395.48,393.29,2.20,0.00,130819,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970529E12,395.50,393.30,2.20,0.00,130822,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.51797055E12,395.50,393.30,2.20,0.00,130822,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970572E12,395.66,393.46,2.20,0.00,130863,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970593E12,395.66,393.46,2.20,0.00,130863,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970614E12,395.71,393.52,2.20,0.00,130877,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970635E12,395.79,393.60,2.20,0.00,130898,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970656E12,395.80,393.61,2.20,0.00,130901,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970677E12,395.86,393.66,2.20,0.00,130915,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970698E12,395.92,393.73,2.20,0.00,130931,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970719E12,395.96,393.76,2.20,0.00,130940,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.51797074E12,396.01,393.82,2.20,0.00,130954,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970761E12,396.01,393.82,2.20,0.00,130954,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970782E12,396.02,393.83,2.20,0.00,130957,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970802E12,396.03,393.83,2.20,0.00,130958,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970824E12,396.03,393.83,2.20,0.00,130958,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970845E12,396.03,393.83,2.20,0.00,130958,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970866E12,396.03,393.83,2.20,0.00,130958,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970887E12,396.03,393.83,2.20,0.00,130958,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970908E12,396.04,393.84,2.20,0.00,130961,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970929E12,396.13,393.94,2.20,0.00,130985,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970949E12,396.25,394.05,2.20,0.00,131014,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970972E12,396.28,394.09,2.20,0.00,131023,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517970991E12,396.29,394.09,2.20,0.00,131025,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517971012E12,396.34,394.14,2.20,0.00,131038,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517971034E12,396.36,394.17,2.20,0.00,131044,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517971055E12,396.42,394.23,2.20,0.00,131059,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517971076E12,396.42,394.23,2.20,0.00,131059,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517971097E12,396.44,394.25,2.20,0.00,131064,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517971118E12,396.44,394.25,2.20,0.00,131064,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.517971139E12,396.44,394.25,2.20,0.00,131064,35196,1024.00
Jasper-deploy,Jasper,deploy, 1.51797116E12,396.45,394.25,2.20,0.00,131065,35196,1024.00
